slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,win_streak_diff,finish_rate_diff,age_diff,reach_diff,days_diff,title_fight,rounds,weight_class_lbs,date,winner
0.5899999999999999,11,-16,-1.02,-43,19,0.0,2,-0.3571428571428571,0.772073921971252,-2.5400000000000205,-21,0,3.0,185,2024-08-03,1
1.1399999999999997,4,11,0.07999999999999996,-16,5,-0.2,3,-0.08333333333333337,-1.4839151266256039,-12.699999999999989,392,0,3.0,205,2024-08-03,1
-1.5099999999999998,4,17,0.29000000000000004,-7,-32,0.2,0,-1.0,-7.219712525667351,5.079999999999984,-133,0,3.0,185,2024-08-03,1
2.6100000000000003,-5,5,-0.55,-18,38,0.0,1,1.0,-5.609856262833674,12.699999999999989,175,0,3.0,170,2024-08-10,1
1.1600000000000001,0,-3,2.1700000000000004,40,-42,0.6,7,0.3296703296703297,-4.481861738535255,-10.159999999999997,-133,1,5.0,185,2024-08-17,1
0.6400000000000001,-12,8,0.96,-59,-24,0.0,-2,-0.2727272727272727,5.4099931553730265,-17.78,637,0,3.0,170,2024-08-17,0
0.7000000000000002,4,0,-0.3,17,4,-0.4,0,0.35,-0.9089664613278572,2.539999999999992,-63,0,3.0,170,2024-08-17,1
2.1,18,-4,2.4299999999999997,25,26,1.2,1,1.0,-2.852840520191652,7.6200000000000045,77,0,3.0,185,2024-08-24,1
-2.17,-3,-2,1.0599999999999998,-2,-34,0.2,-3,-0.1363636363636364,11.890485968514717,2.539999999999992,-63,0,3.0,170,2024-08-24,0
0.98,-7,-4,-0.74,-8,-12,-0.4,-6,0.26666666666666666,8.837782340862422,5.0800000000000125,-35,0,5.0,185,2024-08-24,0
0.7200000000000002,3,-5,-0.14000000000000012,7,24,-0.9999999999999999,0,-0.16666666666666663,-9.924709103353862,-5.0800000000000125,-7,0,3.0,185,2024-08-24,0
1.7599999999999998,11,10,1.28,13,10,0.9,1,0.5,8.591375770020537,-5.0800000000000125,-98,0,3.0,185,2024-09-07,1
-0.8500000000000001,-7,-7,-1.5,-17,-33,-0.4,-1,0.033333333333333326,6.34633812457221,-2.539999999999992,-98,0,5.0,170,2024-09-07,0
0.4299999999999997,8,21,1.14,-11,25,0.2,1,0.25,-1.954825462012316,12.699999999999989,-252,0,3.0,205,2024-09-28,1
1.7599999999999998,-1,-8,3.27,29,11,0.1,0,0.6666666666666666,-2.0807665982203964,7.6200000000000045,203,0,3.0,205,2024-09-28,1
0.43000000000000016,1,11,-0.9099999999999999,-9,25,-0.19999999999999996,-5,-0.16666666666666663,-0.17522245037645234,0.0,-63,0,3.0,185,2024-09-28,1
1.4900000000000002,-1,6,-0.08000000000000007,23,47,-0.10000000000000003,0,-0.30000000000000004,1.3880903490759735,-5.0800000000000125,98,0,3.0,170,2024-09-28,0
1.21,22,4,0.11,50,20,0.1,-1,-0.02777777777777779,2.64202600958248,7.6200000000000045,-203,1,5.0,205,2024-10-05,1
0.16000000000000014,-8,-4,0.20999999999999996,-2,-15,1.3,-1,-0.01904761904761898,-8.37782340862423,-2.539999999999992,-42,0,3.0,205,2024-10-05,1
-0.28000000000000025,8,-2,-0.73,-18,-6,0.3,0,0.5,8.16974674880219,-2.539999999999992,-28,0,3.0,185,2024-10-05,1
-0.8899999999999997,-9,-2,0.17000000000000004,1,-29,0.20000000000000007,0,-0.19780219780219788,4.309377138945937,-12.700000000000017,-28,0,3.0,185,2024-10-05,1
-0.54,-13,0,0.6400000000000001,-16,6,0.3,0,-0.3333333333333333,-0.8104038329911063,0.0,21,0,3.0,170,2024-10-05,1
0.16999999999999993,10,-5,-1.31,-10,-9,-0.1,-4,-0.16666666666666663,11.20602327173168,-2.539999999999992,147,0,3.0,170,2024-10-05,0
0.3199999999999994,14,12,-0.91,-45,8,-0.2,0,-0.33333333333333337,4.928131416837786,7.619999999999976,-119,0,3.0,170,2024-10-12,1
-1.17,-7,1,-1.1400000000000001,-16,24,-0.9,0,-0.2952380952380952,3.186858316221766,2.5400000000000205,-63,0,3.0,185,2024-10-12,0
-1.98,18,8,3.8299999999999996,37,32,0.0,2,-0.4166666666666667,-1.3169062286105344,2.5400000000000205,14,0,3.0,170,2024-10-12,1
2.17,9,1,0.18,26,17,-0.19999999999999998,0,0.12087912087912078,3.624914442162904,5.0800000000000125,-21,0,3.0,170,2024-10-12,1
